loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
0.18633468;0.95;0.20955884;0.9415;0.2201311;0.9357;17;16;22;19
0.06610773;0.975;0.1988881;0.9453;0.21777901;0.9387;17;16;22;19
0.15764491;0.9375;0.17833164;0.9491;0.19589491;0.944;17;16;22;19
0.18998674;0.9375;0.19238128;0.9472;0.20570904;0.9414;17;16;22;19
0.14568493;0.9625;0.18572746;0.9483;0.20039763;0.9412;17;16;22;19
0.14295346;0.975;0.18782766;0.9471;0.1993468;0.9442;17;16;22;19
0.22862041;0.9375;0.16714206;0.9553;0.18577446;0.9475;17;16;22;19
0.3475613;0.9;0.17172523;0.9536;0.19374514;0.9477;17;16;22;19
0.14250267;0.9625;0.18796761;0.9485;0.20192705;0.9449;17;16;22;19
0.21028009;0.9375;0.20690286;0.9439;0.22191955;0.9396;17;16;22;19
0.20356968;0.9375;0.21325347;0.9429;0.23254034;0.9336;17;16;22;19
0.231782;0.9;0.18175171;0.952;0.18296137;0.9487;17;16;22;19
0.35985214;0.95;0.17187645;0.9528;0.19090095;0.9463;17;16;22;19
0.19830391;0.9375;0.18628858;0.9484;0.19874597;0.9444;17;16;22;19
0.27107847;0.925;0.1809297;0.9509;0.19940113;0.9438;17;16;22;19
0.24322133;0.95;0.19070908;0.9462;0.22145529;0.9376;17;16;22;19
0.36076075;0.95;0.22268546;0.9364;0.23367691;0.9341;17;16;22;19
0.30862534;0.8875;0.20544732;0.9393;0.22891614;0.9333;17;16;22;19
0.18466812;0.9625;0.23572749;0.9269;0.26282158;0.9202;17;16;22;19
0.29726467;0.9125;0.20406294;0.9434;0.23402306;0.9349;17;16;22;19
0.43392888;0.9;0.2440749;0.9322;0.2668985;0.9269;17;16;22;19
0.49956736;0.9125;0.19333024;0.9463;0.21692495;0.939;17;16;22;19
0.26483616;0.925;0.20488156;0.9429;0.22102521;0.9386;17;16;22;19
0.21554403;0.925;0.1979268;0.945;0.20165178;0.9413;17;16;22;19
0.15913509;0.95;0.1966347;0.9442;0.22197063;0.9393;17;16;22;19
